Time_stamp,Count
2024-10-04 12:00:00,527
2024-10-04 12:10:00,546
2024-10-04 12:20:00,558
2024-10-04 12:30:00,591
2024-10-04 12:40:00,558
2024-10-04 12:50:00,601
2024-10-04 13:00:00,572
2024-10-04 13:10:00,616
2024-10-04 13:20:00,595
2024-10-04 13:30:00,559
2024-10-04 13:40:00,575
2024-10-04 13:50:00,533
2024-10-04 14:00:00,566
2024-10-04 14:10:00,613
2024-10-04 14:20:00,585
2024-10-04 14:30:00,567
2024-10-04 14:40:00,563
2024-10-04 14:50:00,540
2024-10-04 15:00:00,563
2024-10-04 15:10:00,564
2024-10-04 15:20:00,586
2024-10-04 15:30:00,551
2024-10-04 15:40:00,591
2024-10-04 15:50:00,615
2024-10-04 16:00:00,568
2024-10-04 16:10:00,598
2024-10-04 16:20:00,555
2024-10-04 16:30:00,562
2024-10-04 16:40:00,566
2024-10-04 16:50:00,559
2024-10-04 17:00:00,528
2024-10-04 17:10:00,572
2024-10-04 17:20:00,547
2024-10-04 17:30:00,551
2024-10-04 17:40:00,562
2024-10-04 17:50:00,531
2024-10-04 18:00:00,574
2024-10-04 18:10:00,577
2024-10-04 18:20:00,559
2024-10-04 18:30:00,560
2024-10-04 18:40:00,535
2024-10-04 18:50:00,566
2024-10-04 19:00:00,594
2024-10-04 19:10:00,571
2024-10-04 19:20:00,531
2024-10-04 19:30:00,592
2024-10-04 19:40:00,570
2024-10-04 19:50:00,582
2024-10-04 20:00:00,544
2024-10-04 20:10:00,550
2024-10-04 20:20:00,539
2024-10-04 20:30:00,532
2024-10-04 20:40:00,538
2024-10-04 20:50:00,556
2024-10-04 21:00:00,575
2024-10-04 21:10:00,559
2024-10-04 21:20:00,553
2024-10-04 21:30:00,566
2024-10-04 21:40:00,603
2024-10-04 21:50:00,556
2024-10-04 22:00:00,618
2024-10-04 22:10:00,574
2024-10-04 22:20:00,541
2024-10-04 22:30:00,538
2024-10-04 22:40:00,582
2024-10-04 22:50:00,545
2024-10-04 23:00:00,537
2024-10-04 23:10:00,539
2024-10-04 23:20:00,573
2024-10-04 23:30:00,589
2024-10-04 23:40:00,583
2024-10-04 23:50:00,556
2024-10-05 00:00:00,556
2024-10-05 00:10:00,495
2024-10-05 00:20:00,528
2024-10-05 00:30:00,532
2024-10-05 00:40:00,575
2024-10-05 00:50:00,537
2024-10-05 01:00:00,582
2024-10-05 01:10:00,564
2024-10-05 01:20:00,589
2024-10-05 01:30:00,565
2024-10-05 01:40:00,576
2024-10-05 01:50:00,561
2024-10-05 02:00:00,556
2024-10-05 02:10:00,562
2024-10-05 02:20:00,543
2024-10-05 02:30:00,558
2024-10-05 02:40:00,600
2024-10-05 02:50:00,563
2024-10-05 03:00:00,544
2024-10-05 03:10:00,569
2024-10-05 03:20:00,532
2024-10-05 03:30:00,578
2024-10-05 03:40:00,608
2024-10-05 03:50:00,556
2024-10-05 04:00:00,534
2024-10-05 04:10:00,531
2024-10-05 04:20:00,559
2024-10-05 04:30:00,578
2024-10-05 04:40:00,578
2024-10-05 04:50:00,544
2024-10-05 05:00:00,546
2024-10-05 05:10:00,563
2024-10-05 05:20:00,519
2024-10-05 05:30:00,593
2024-10-05 05:40:00,586
2024-10-05 05:50:00,563
2024-10-05 06:00:00,548
2024-10-05 06:10:00,559
2024-10-05 06:20:00,582
2024-10-05 06:30:00,569
2024-10-05 06:40:00,555
2024-10-05 06:50:00,584
2024-10-05 07:00:00,543
2024-10-05 07:10:00,594
2024-10-05 07:20:00,562
2024-10-05 07:30:00,599
2024-10-05 07:40:00,594
2024-10-05 07:50:00,580
2024-10-05 08:00:00,592
2024-10-05 08:10:00,541
2024-10-05 08:20:00,564
2024-10-05 08:30:00,569
2024-10-05 08:40:00,570
2024-10-05 08:50:00,570
2024-10-05 09:00:00,579
2024-10-05 09:10:00,576
2024-10-05 09:20:00,597
2024-10-05 09:30:00,607
2024-10-05 09:40:00,572
2024-10-05 09:50:00,570
2024-10-05 10:00:00,538
2024-10-05 10:10:00,561
2024-10-05 10:20:00,572
2024-10-05 10:30:00,587
2024-10-05 10:40:00,592
2024-10-05 10:50:00,564
2024-10-05 11:00:00,618
2024-10-05 11:10:00,571
2024-10-05 11:20:00,593
2024-10-05 11:30:00,574
2024-10-05 11:40:00,569
2024-10-05 11:50:00,598
2024-10-05 12:00:00,588
2024-10-05 12:10:00,571
2024-10-05 12:20:00,607
2024-10-05 12:30:00,574
2024-10-05 12:40:00,605
2024-10-05 12:50:00,620
2024-10-05 13:00:00,553
2024-10-05 13:10:00,561
2024-10-05 13:20:00,574
2024-10-05 13:30:00,568
2024-10-05 13:40:00,584
2024-10-05 13:50:00,566
2024-10-05 14:00:00,544
2024-10-05 14:10:00,572
2024-10-05 14:20:00,546
2024-10-05 14:30:00,562
2024-10-05 14:40:00,544
2024-10-05 14:50:00,576
2024-10-05 15:00:00,565
2024-10-05 15:10:00,562
2024-10-05 15:20:00,581
2024-10-05 15:30:00,546
2024-10-05 15:40:00,590
2024-10-05 15:50:00,571
2024-10-05 16:00:00,558
2024-10-05 16:10:00,544
2024-10-05 16:20:00,536
2024-10-05 16:30:00,575
2024-10-05 16:40:00,574
2024-10-05 16:50:00,540
2024-10-05 17:00:00,589
2024-10-05 17:10:00,588
2024-10-05 17:20:00,543
2024-10-05 17:30:00,554
2024-10-05 17:40:00,573
2024-10-05 17:50:00,554
2024-10-05 18:00:00,578
2024-10-05 18:10:00,568
2024-10-05 18:20:00,564
2024-10-05 18:30:00,572
2024-10-05 18:40:00,537
2024-10-05 18:50:00,546
2024-10-05 19:00:00,555
2024-10-05 19:10:00,539
2024-10-05 19:20:00,574
2024-10-05 19:30:00,571
2024-10-05 19:40:00,544
2024-10-05 19:50:00,544
2024-10-05 20:00:00,561
2024-10-05 20:10:00,561
2024-10-05 20:20:00,554
2024-10-05 20:30:00,572
2024-10-05 20:40:00,551
2024-10-05 20:50:00,500
2024-10-05 21:00:00,593
2024-10-05 21:10:00,552
2024-10-05 21:20:00,548
2024-10-05 21:30:00,582
2024-10-05 21:40:00,528
2024-10-05 21:50:00,546
2024-10-05 22:00:00,530
2024-10-05 22:10:00,593
2024-10-05 22:20:00,538
2024-10-05 22:30:00,567
2024-10-05 22:40:00,561
2024-10-05 22:50:00,572
2024-10-05 23:00:00,581
2024-10-05 23:10:00,568
2024-10-05 23:20:00,553
2024-10-05 23:30:00,542
2024-10-05 23:40:00,550
2024-10-05 23:50:00,576
2024-10-06 00:00:00,529
2024-10-06 00:10:00,528
2024-10-06 00:20:00,556
2024-10-06 00:30:00,526
2024-10-06 00:40:00,560
2024-10-06 00:50:00,524
2024-10-06 01:00:00,556
2024-10-06 01:10:00,550
2024-10-06 01:20:00,576
2024-10-06 01:30:00,549
2024-10-06 01:40:00,572
2024-10-06 01:50:00,528
2024-10-06 02:00:00,558
2024-10-06 02:10:00,570
2024-10-06 02:20:00,536
2024-10-06 02:30:00,581
2024-10-06 02:40:00,536
2024-10-06 02:50:00,575
2024-10-06 03:00:00,560
2024-10-06 03:10:00,557
2024-10-06 03:20:00,565
2024-10-06 03:30:00,577
2024-10-06 03:40:00,587
2024-10-06 03:50:00,549
2024-10-06 04:00:00,611
2024-10-06 04:10:00,548
2024-10-06 04:20:00,540
2024-10-06 04:30:00,553
2024-10-06 04:40:00,572
2024-10-06 04:50:00,569
2024-10-06 05:00:00,595
2024-10-06 05:10:00,587
2024-10-06 05:20:00,588
2024-10-06 05:30:00,593
2024-10-06 05:40:00,534
2024-10-06 05:50:00,557
2024-10-06 06:00:00,564
2024-10-06 06:10:00,596
2024-10-06 06:20:00,542
2024-10-06 06:30:00,554
2024-10-06 06:40:00,565
2024-10-06 06:50:00,620
2024-10-06 07:00:00,587
2024-10-06 07:10:00,553
2024-10-06 07:20:00,604
2024-10-06 07:30:00,577
2024-10-06 07:40:00,634
2024-10-06 07:50:00,570
2024-10-06 08:00:00,605
2024-10-06 08:10:00,596
2024-10-06 08:20:00,554
2024-10-06 08:30:00,563
2024-10-06 08:40:00,565
2024-10-06 08:50:00,592
2024-10-06 09:00:00,578
2024-10-06 09:10:00,577
2024-10-06 09:20:00,543
2024-10-06 09:30:00,555
2024-10-06 09:40:00,550
2024-10-06 09:50:00,594
2024-10-06 10:00:00,599
2024-10-06 10:10:00,591
2024-10-06 10:20:00,542
2024-10-06 10:30:00,612
2024-10-06 10:40:00,557
2024-10-06 10:50:00,596
2024-10-06 11:00:00,563
2024-10-06 11:10:00,552
2024-10-06 11:20:00,552
2024-10-06 11:30:00,535
2024-10-06 11:40:00,573
2024-10-06 11:50:00,551
2024-10-06 12:00:00,543
2024-10-06 12:10:00,563
2024-10-06 12:20:00,577
2024-10-06 12:30:00,550
2024-10-06 12:40:00,581
2024-10-06 12:50:00,596
2024-10-06 13:00:00,551
2024-10-06 13:10:00,552
2024-10-06 13:20:00,520
2024-10-06 13:30:00,550
2024-10-06 13:40:00,603
2024-10-06 13:50:00,578
2024-10-06 14:00:00,589
2024-10-06 14:10:00,569
2024-10-06 14:20:00,559
2024-10-06 14:30:00,591
2024-10-06 14:40:00,638
2024-10-06 14:50:00,599
2024-10-06 15:00:00,611
2024-10-06 15:10:00,618
2024-10-06 15:20:00,560
2024-10-06 15:30:00,595
2024-10-06 15:40:00,580
2024-10-06 15:50:00,619
2024-10-06 16:00:00,572
2024-10-06 16:10:00,586
2024-10-06 16:20:00,590
2024-10-06 16:30:00,541
2024-10-06 16:40:00,589
2024-10-06 16:50:00,502
2024-10-06 17:00:00,627
2024-10-06 17:10:00,589
2024-10-06 17:20:00,555
2024-10-06 17:30:00,569
2024-10-06 17:40:00,535
2024-10-06 17:50:00,557
2024-10-06 18:00:00,571
2024-10-06 18:10:00,604
2024-10-06 18:20:00,572
2024-10-06 18:30:00,568
2024-10-06 18:40:00,594
2024-10-06 18:50:00,535
2024-10-06 19:00:00,558
2024-10-06 19:10:00,545
2024-10-06 19:20:00,520
2024-10-06 19:30:00,569
2024-10-06 19:40:00,545
2024-10-06 19:50:00,558
2024-10-06 20:00:00,550
2024-10-06 20:10:00,583
2024-10-06 20:20:00,547
2024-10-06 20:30:00,561
2024-10-06 20:40:00,562
2024-10-06 20:50:00,578
2024-10-06 21:00:00,568
2024-10-06 21:10:00,598
2024-10-06 21:20:00,560
2024-10-06 21:30:00,556
2024-10-06 21:40:00,528
2024-10-06 21:50:00,563
2024-10-06 22:00:00,550
2024-10-06 22:10:00,541
2024-10-06 22:20:00,570
2024-10-06 22:30:00,557
2024-10-06 22:40:00,577
2024-10-06 22:50:00,557
2024-10-06 23:00:00,549
2024-10-06 23:10:00,557
2024-10-06 23:20:00,539
2024-10-06 23:30:00,567
2024-10-06 23:40:00,599
2024-10-06 23:50:00,575
2024-10-07 00:00:00,546
2024-10-07 00:10:00,525
2024-10-07 00:20:00,571
2024-10-07 00:30:00,548
2024-10-07 00:40:00,573
2024-10-07 00:50:00,595
2024-10-07 01:00:00,567
2024-10-07 01:10:00,578
2024-10-07 01:20:00,595
2024-10-07 01:30:00,559
2024-10-07 01:40:00,561
2024-10-07 01:50:00,528
2024-10-07 02:00:00,608
2024-10-07 02:10:00,549
2024-10-07 02:20:00,571
2024-10-07 02:30:00,567
2024-10-07 02:40:00,587
2024-10-07 02:50:00,537
2024-10-07 03:00:00,541
2024-10-07 03:10:00,564
2024-10-07 03:20:00,576
2024-10-07 03:30:00,619
2024-10-07 03:40:00,523
2024-10-07 03:50:00,571
2024-10-07 04:00:00,567
2024-10-07 04:10:00,563
2024-10-07 04:20:00,549
2024-10-07 04:30:00,565
2024-10-07 04:40:00,591
2024-10-07 04:50:00,590
2024-10-07 05:00:00,552
2024-10-07 05:10:00,567
2024-10-07 05:20:00,548
2024-10-07 05:30:00,542
2024-10-07 05:40:00,516
2024-10-07 05:50:00,570
2024-10-07 06:00:00,585
2024-10-07 06:10:00,567
2024-10-07 06:20:00,578
2024-10-07 06:30:00,580
2024-10-07 06:40:00,564
2024-10-07 06:50:00,606
2024-10-07 07:00:00,543
2024-10-07 07:10:00,569
2024-10-07 07:20:00,609
2024-10-07 07:30:00,617
2024-10-07 07:40:00,584
2024-10-07 07:50:00,573
2024-10-07 08:00:00,577
2024-10-07 08:10:00,585
2024-10-07 08:20:00,572
2024-10-07 08:30:00,597
2024-10-07 08:40:00,584
2024-10-07 08:50:00,585
2024-10-07 09:00:00,587
2024-10-07 09:10:00,557
2024-10-07 09:20:00,617
2024-10-07 09:30:00,584
2024-10-07 09:40:00,592
2024-10-07 09:50:00,577
2024-10-07 10:00:00,579
2024-10-07 10:10:00,566
2024-10-07 10:20:00,563
2024-10-07 10:30:00,572
2024-10-07 10:40:00,565
2024-10-07 10:50:00,596
2024-10-07 11:00:00,585
2024-10-07 11:10:00,580
2024-10-07 11:20:00,567
2024-10-07 11:30:00,571
2024-10-07 11:40:00,570
2024-10-07 11:50:00,575
2024-10-07 12:00:00,592
2024-10-07 12:10:00,596
2024-10-07 12:20:00,626
2024-10-07 12:30:00,564
2024-10-07 12:40:00,566
2024-10-07 12:50:00,563
2024-10-07 13:00:00,586
2024-10-07 13:10:00,590
2024-10-07 13:20:00,589
2024-10-07 13:30:00,562
2024-10-07 13:40:00,591
2024-10-07 13:50:00,557
2024-10-07 14:00:00,532
2024-10-07 14:10:00,581
2024-10-07 14:20:00,592
2024-10-07 14:30:00,548
2024-10-07 14:40:00,577
2024-10-07 14:50:00,565
2024-10-07 15:00:00,577
2024-10-07 15:10:00,567
2024-10-07 15:20:00,589
2024-10-07 15:30:00,583
2024-10-07 15:40:00,566
2024-10-07 15:50:00,527
2024-10-07 16:00:00,594
2024-10-07 16:10:00,561
2024-10-07 16:20:00,597
2024-10-07 16:30:00,580
2024-10-07 16:40:00,592
2024-10-07 16:50:00,577
2024-10-07 17:00:00,555
2024-10-07 17:10:00,579
2024-10-07 17:20:00,593
2024-10-07 17:30:00,588
